feature,mean_abs_shap
ram_per_1000rs,0.41510380905801564
ram_capacity,0.20328866795620895
internal_memory,0.07474817948205344
storage_per_1000rs,0.05512270441724762
processor_speed,0.04537708469150731
rating,0.032286462904558326
has_nfc,0.008649634707656624
pixel_density_proxy,0.008012364965070901
resolution_width,0.007865264172656063
primary_camera_rear,0.005783549030668499
brand_tier_mid,0.005127076968576084
fast_charging_available,0.003453902521834693
screen_size,0.0031692246778473277
resolution_height,0.00284480593575364
num_rear_cameras,0.0028081898329067327
primary_camera_front,0.00261439222423739
total_cameras,0.00240378826355344
extended_memory_available,0.002114883678546683
has_5g,0.001183858488595894
num_cores,0.0010864325128200633
refresh_rate,0.0010101454389624886
fast_charging,0.0007242148552620271
battery_per_screen_inch,0.000677041445443543
processor_brand_snapdragon,0.0006458194140264204
battery_capacity,0.000527456951519093
os_ios,0.0004927681856562101
brand_tier_premium,0.00044097711339096383
model_tier_standard,0.00039275904055804
extended_upto,0.00028628572573420315
brand_name_itel,0.00025786747627590256
brand_name_oppo,0.00023740004735564618
brand_name_vivo,0.00019561826192794523
brand_name_samsung,0.00017051351907561426
brand_name_xiaomi,0.00016729339931176876
model_tier_pro,0.0001644030779258024
processor_brand_helio,0.00015641235484109038
processor_brand_dimensity,9.90813854977351e-05
brand_name_realme,8.459036433716336e-05
has_fast_charging_flag,8.103276799035514e-05
has_ir_blaster,7.29231104942258e-05
brand_name_asus,6.76227241498061e-05
model_tier_ultra,6.514319465258113e-05
processor_brand_tiger,5.6562427779770847e-05
brand_name_huawei,5.0727196176697775e-05
num_front_cameras,4.700068673025622e-05
processor_brand_unisoc,3.15983729808288e-05
brand_name_iqoo,2.672270508639452e-05
brand_name_nubia,2.668075453076366e-05
brand_name_motorola,2.4797781063323204e-05
brand_name_honor,2.4287558991445552e-05
brand_name_letv,2.4244927136361005e-05
processor_brand_exynos,1.979570412330901e-05
brand_name_tecno,1.914703781510939e-05
brand_name_lyf,1.695524995279009e-05
os_other,1.6720122321535214e-05
brand_name_poco,1.5315280205251646e-05
brand_name_gionee,1.2910327629078581e-05
brand_name_infinix,1.2758820450131957e-05
brand_name_oneplus,1.2186798036896826e-05
processor_brand_kirin,6.619352301524918e-06
model_tier_lite,4.8614733897149e-06
brand_name_nothing,3.978074470003192e-06
brand_name_sony,3.257630344327393e-06
model_tier_max,3.0895526600859563e-06
brand_name_micromax,2.16844449582239e-06
brand_name_google,1.3090546938029785e-06
processor_brand_google,4.929256740992757e-07
brand_name_blackview,0.0
brand_name_lava,0.0
brand_name_duoqin,0.0
brand_name_cat,0.0
brand_name_cola,0.0
brand_name_doogee,0.0
brand_name_ikall,0.0
brand_name_jio,0.0
brand_name_leeco,0.0
brand_name_blu,0.0
brand_name_redmi,0.0
brand_name_oukitel,0.0
brand_name_leitz,0.0
brand_name_nokia,0.0
brand_name_lg,0.0
brand_name_lenovo,0.0
brand_name_vertu,0.0
brand_name_tcl,0.0
processor_brand_fusion,0.0
brand_name_zte,0.0
brand_name_tesla,0.0
brand_name_royole,0.0
brand_name_sharp,0.0
processor_brand_spreadtrum,0.0
processor_brand_mediatek,0.0
processor_brand_sc9863a,0.0
