brand_name,model,price,predicted_fair_price,value_score_pct
vertu,Vertu Signature Touch,650000,167848.0,-74.18
xiaomi,Xiaomi Redmi K20 Pro Signature Edition,480000,312013.0,-35.0
oppo,OPPO A97 5G,23990,19605.0,-18.28
asus,Asus ROG Phone 6 Pro 5G,89999,75482.0,-16.13
asus,Asus ROG Phone 6D Ultimate,107990,90597.0,-16.11
huawei,Huawei Mate 50 RS Porsche Design,239999,203651.0,-15.15
vivo,Vivo Y93,18000,15293.0,-15.04
oppo,OPPO Reno 9 Pro 5G,39999,34016.0,-14.96
tesla,Tesla Pi Phone,69999,59804.0,-14.56
lenovo,Lenovo Legion Pro 2,59999,51462.0,-14.23
